Depresyon,Sürekli bir üzüntü durumu ve ilgi kaybıyla karakterize edilen bir ruh hali bozukluğudur (American Psychiatric Association, 2013).;
Anksiyete,Belirsiz bir tehdit algısı sonucunda ortaya çıkan endişe ve korku durumudur (American Psychological Association, 2020).;
Umutsuzluk,Geleceğe dair olumsuz düşünceler ve beklentilerle karakterize edilen duygusal bir durumdur (Beck, 1967).;
Bipolar Bozukluk,Aşırı ruh hali dalgalanmaları ile karakterize edilen bir ruhsal bozukluktur; mani ve depresyon dönemleri içerebilir (American Psychiatric Association, 2013).
Obsesif-Kompulsif Bozukluk (OKB),Tekrar eden obsesyonlar (düşünceler) ve kompulsiyonlar (davranışlar) ile karakterize edilen bir bozukluktur (American Psychiatric Association, 2013).;
Travma Sonrası Stres Bozukluğu (TSSB),Travmatik bir olay sonrası ortaya çıkan, tekrar yaşama, kaçınma ve aşırı uyarılma belirtileriyle karakterize edilen bir bozukluktur (American Psychiatric Association, 2013).;
Sosyal Anksiyete Bozukluğu,Sosyal durumlarda yoğun korku ve kaygı hissi ile karakterize edilen bir bozukluktur (American Psychiatric Association, 2013).;
Genel Anksiyete Bozukluğu,Sürekli ve aşırı endişe hali ile karakterize edilen bir bozukluktur (American Psychiatric Association, 2013).;
Fobiler,Belirli nesne veya durumlara karşı aşırı korku ve kaçınma ile karakterize edilen bir durumdur (American Psychological Association, 2020).;
Yeme Bozuklukları,Anoreksiya, bulimiya ve aşırı yeme gibi durumları içeren, yemekle ilgili davranış bozukluklarıdır (American Psychiatric Association, 2013).;Duygu Durumu Bozuklukları,Duygu durumlarının bozulmasıyla karakterize edilen ruhsal bozuklukları içerir; depresyon ve bipolar bozukluk bu gruptadır (American Psychiatric Association, 2013).
Sıkıntı,Duygusal bir rahatsızlık hali olarak tanımlanabilir; can sıkıntısı ve huzursuzluk ile karakterizedir (Fisher, 1993).
İnsomnia (Uykusuzluk),Uykuya dalma veya uyku süresinin yeterli olmaması durumudur (American Academy of Sleep Medicine, 2014).;
Stres,Fiziksel, zihinsel veya duygusal baskı altında kalma durumu; bireyin bu baskı karşısındaki tepkisidir (Lazarus & Folkman, 1984).
Duygusal Dayanıklılık,Zorluklar ve stresle başa çıkabilme yeteneğidir; psikolojik sağlamlık ile ilişkilidir (Bonanno, 2004).
Psikoza,Gerçeklikten kopma durumu; sanrılar ve halüsinasyonlar gibi belirtilerle karakterizedir (American Psychiatric Association, 2013).
Şizofreni,Düşünce, algı ve duyguların bozulması ile karakterize ciddi bir mental bozukluktur (American Psychiatric Association, 2013).;
Aşk,Güçlü bir bağlılık ve duygusal çekim hissi; romantik ve platonik türleri vardır (Sternberg, 1986).
Keder,Kayıp veya ayrılık durumunda ortaya çıkan doğal bir duygu; yas süreci ile ilişkilidir (Worden, 2009).
Melankoli,Derin bir hüzün ve karamsarlık durumu; eski bir terim olarak depresyonu ifade etmek için kullanılır (Roth, 1986).
Güvensizlik,Kendi yeteneklerine veya başkalarına karşı duyulan güven eksikliğidir (Cameron & Quinn, 2011).;
Çaresizlik,Durum üzerinde kontrol eksikliği hissi; umutsuzluk ile ilişkilidir (Seligman, 1975).
Korku,Belirli bir tehlike veya tehdit karşısında hissedilen yoğun duygudur (American Psychological Association, 2020).;
Hüzün,Duygusal bir durum olup, kayıplar veya olumsuz olaylar karşısında ortaya çıkar (Parkes, 2010).;
İlişki Bağımlılığı,Sağlıksız bir şekilde başkalarına duygusal olarak bağımlı olma durumudur (Greeley, 1999).;
Sınav Kaygısı,Sınav veya performans durumları öncesinde hissedilen yoğun kaygı ve stres durumudur (Zeidner, 1998).;
Duygu Düzenleme,Duyguların kontrol edilmesi ve düzenlenmesi sürecidir; psikolojik sağlık için önemlidir (Gross, 1998).
Sosyal İzolasyon,Sosyal bağlantı eksikliği ve yalnızlık durumu; ruhsal sağlık üzerinde olumsuz etkileri olabilir (Cacioppo & Cacioppo, 2014).
Aşırı Endişe,Normal kaygının ötesinde, sürekli endişe hali; genel anksiyete bozukluğu ile ilişkilidir (American Psychiatric Association, 2013).
Duygusal İstismar,Başkalarının duygusal sağlığını zarar verme amacıyla yapılan davranışlardır (Harris, 1994).;
Bilişsel Davranışçı Terapi (BDT),Düşünce ve davranışların değiştirilmesine yönelik psikoterapi yaklaşımıdır (Beck, 1976).;
Duygusal Zeka,Duyguları anlama, ifade etme ve yönetme yeteneğidir (Goleman, 1995).;
Empati,Başkalarının duygularını anlama ve paylaşma yeteneğidir (Davis, 1983).;
Bağlanma Stilleri,Bireylerin ilişkilerde geliştirdikleri duygusal bağlılık biçimleridir (Bowlby, 1969).;
Duygusal Yük,Duygusal olarak zorlayıcı durumların birey üzerinde yarattığı baskıdır (Kahn & Byosiere, 1992).;
Düşük Motivasyon,Bireyin hedeflerine ulaşma veya görevleri tamamlama konusundaki isteksizliğidir (Ryan & Deci, 2000).;
Panik Bozukluğu,Beklenmedik panik ataklar ile karakterize edilen bir kaygı bozukluğudur (American Psychiatric Association, 2013).;
Kronik Yorgunluk Sendromu,Uzun süreli ve açıklanamayan yorgunluk ile karakterize bir durumdur (CFS Advisory Committee, 2000).;
Sıkıntı Bozukluğu,Uzun süreli sıkıntı hali; yaşam kalitesini olumsuz etkileyebilir (Fisher, 1993).
Baskı,Fiziksel veya zihinsel bir zorlanma durumudur; stresle ilişkilidir (Lazarus & Folkman, 1984).
İntihar Düşünceleri,Hayata son verme düşünceleri; psikolojik kriz durumunu yansıtır (Joiner, 2005).
Duygusal Sıkıntı,Zihinsel ve duygusal sağlığın bozulması; psikolojik rahatsızlık belirtileridir (American Psychological Association, 2020).
İlişki Sorunları,İki veya daha fazla kişi arasındaki iletişim ve bağlılık problemleri (Gottman, 1994).;
Aşırı Duyarlılık,Duygusal ve sosyal durumlara aşırı tepki verme durumu; duygusal istikrarı etkileyebilir (Heller, 1995).
Kendine Güvensizlik,Kendi yetenekleri ve değerleri konusunda duyulan eksiklik hissidir (Bandura, 1997).;
Duygu Bozuklukları Ölçeği,Duygusal durumları ölçmek için kullanılan standart bir değerlendirme aracıdır (Watson & Tellegen, 1985).;
Kişilik Bozuklukları,Bireyin düşünce, his ve davranışlarındaki kalıcı ve esnek bozukluklardır (American Psychiatric Association, 2013).;
Duygu Durumu İzleme,Duygusal durumların düzenli olarak kaydedilmesi; zihinsel sağlık izleme aracı olarak kullanılabilir (Kahneman et al., 2004).
Kendilik Algısı,Bireyin kendine dair düşünceleri ve inançları; ruhsal sağlığı etkileyebilir (Rogers, 1951).
Duygusal Şiddet,Başkalarına yönelik sözel veya davranışsal saldırganlık; psikolojik zarar verme amacı taşır (Graham-Kevan & Archer, 2003).
Yalnızlık,Başkalarıyla kurulan sosyal bağların eksikliği hissi; ruhsal sağlık üzerinde olumsuz etkiler yaratabilir (Cacioppo & Cacioppo, 2014).
Korku,Tehdit veya tehlike karşısında ortaya çıkan duygusal bir tepki; hayatta kalma mekanizmasıdır (Damasio, 1994).
Aşk,Romantik veya derin duygusal bağlılık hissi; birçok kültürde önemli bir tema olarak yer alır (Sternberg, 1986).
Empati,Başkalarının duygularını anlama ve paylaşma yeteneği; sosyal ilişkilerde önemli bir rol oynar (Davis, 1983).
Özgüven,Bireyin kendi yeterliliklerine ve yeteneklerine olan inancı; başarı ve mutluluk ile ilişkilidir (Bandura, 1997).
Stres,Zihinsel veya fiziksel baskı altında kalma durumu; çeşitli sağlık sorunlarına yol açabilir (Lazarus & Folkman, 1984).
Bağlanma,Bireylerin diğer insanlara karşı geliştirdiği duygusal bağlar; çocukluk döneminde şekillenir (Bowlby, 1969).
Anksiyete,Gelecekteki tehditler karşısında hissedilen kaygı; çeşitli bozuklukların belirtisi olabilir (American Psychiatric Association, 2013).
Hüzün,Kayıp veya hayal kırıklığı karşısında duyulan derin üzüntü; normal bir duygusal tepkidir (Worden, 2009).
Kaygı,Gerginlik, endişe ve huzursuzluk hissi; stresli durumlara karşı ortaya çıkabilir (American Psychiatric Association, 2013).
İletişim,Bireyler arasında bilgi ve duyguların paylaşımı; sağlıklı ilişkilerin temelini oluşturur (Gottman, 1994).
Ruhsal Sağlık,Bireyin duygusal, psikolojik ve sosyal iyilik hali; genel sağlık üzerinde önemli bir etkisi vardır (American Psychiatric Association, 2013).
Duygusal Zeka,Duyguları anlama, yönetme ve başkalarıyla etkili bir şekilde etkileşim kurma yeteneği; sosyal ilişkilerde başarı için kritik öneme sahiptir (Goleman, 1995).
Sosyal Destek,Bireylerin zor zamanlarında aldıkları yardım ve destek; ruhsal sağlığı olumlu yönde etkileyebilir (Cacioppo & Cacioppo, 2014).
Aşırı Kaygı,Normal kaygı seviyelerinin üzerinde, günlük yaşamı olumsuz etkileyen durum; anksiyete bozuklukları ile ilişkilidir (American Psychiatric Association, 2013).
Kayıp,Sevilen birinin, nesnenin veya bir durumun kaybı; derin bir yas sürecini tetikleyebilir (Parkes, 2010).
Uygunsuz Duygular,Ortama veya duruma uygun olmayan duygusal tepkiler; sosyal ilişkilerde sorunlara yol açabilir (Heller, 1995).
Yaralanma,Fiziksel veya psikolojik zarar; travma sonrası stres bozukluğu gibi durumların gelişmesine neden olabilir (Joiner, 2005).
Bağımlılık,Bir madde veya davranışa karşı duyulan aşırı ve kontrol edilemeyen istek; ruhsal sağlık sorunları ile ilişkilidir (American Psychiatric Association, 2013).
Kendine Zarar Verme,Bireyin bilinçli olarak kendisine zarar verme eylemi; ruhsal sağlık sorunlarını işaret edebilir (Harris, 1994).
Duygusal Dayanıklılık,Zorluklar ve stresle başa çıkma kapasitesi; bireylerin ruhsal sağlıklarını korumalarına yardımcı olur (Bonanno, 2004).
Ruhsal Kriz,Bireyin ruhsal sağlığını tehdit eden yoğun bir durum; profesyonel müdahale gerektirebilir (CFS Advisory Committee, 2000).
Yardımseverlik,Başkalarına yardım etme isteği ve eylemi; sosyal ilişkileri güçlendirir (Ryan & Deci, 2000).
Sosyal İzolasyon,Başkalarıyla sosyal bağlantıların eksikliği; ruhsal sağlık üzerinde olumsuz etkiler yaratabilir (Cacioppo & Cacioppo, 2014).
Zihinsel Sağlık Bozukluğu,Bireyin düşünce, duygu veya davranışlarını etkileyen bir durum; günlük yaşamı zorlaştırabilir (American Psychiatric Association, 2013).
Zihin Eğitimi,Zihinsel yetenekleri geliştirme süreci; ruhsal sağlığı iyileştirebilir (Seligman, 1975).
Kendilik Farkındalığı,Bireyin kendi düşünce, duygu ve davranışlarının farkında olması; ruhsal sağlığı olumlu etkileyebilir (Rogers, 1951).
Empatik Duygu Durumu,Başkalarının duygularını anlamaya ve onlara yanıt vermeye yönelik bir içsel durum; sosyal ilişkileri güçlendirir (Davis, 1983).
Zihinsel Esneklik,Zihinsel süreçlerdeki değişikliklere hızlı bir şekilde uyum sağlama yeteneği; stresle başa çıkmada yardımcı olabilir (Gross, 1998).
Duygu Yönetimi,Duyguları anlama ve yönetme becerisi; ruhsal sağlığı olumlu yönde etkileyebilir (Goleman, 1995).
İşlevsellik,Bireyin günlük yaşamda kendisini nasıl gerçekleştirdiği; ruhsal sağlıkla doğrudan ilişkilidir (American Psychiatric Association, 2013).
Ruhsal Destek,Bireyin ruhsal ihtiyaçlarını karşılamak için sağlanan yardım; sağlıklı ilişkilerin bir parçasıdır (Cacioppo & Cacioppo, 2014).
Anlam Arayışı,Bireyin yaşamında anlam ve amaç bulma çabası; ruhsal sağlığı olumlu yönde etkileyebilir (Seligman, 1975).
Karamsarlık,Olumsuz düşüncelerin ve duyguların baskın olması; ruhsal sağlık sorunlarıyla ilişkilidir (Beck, 1967).
İyimserlik,Olumlu düşüncelerin baskın olması; ruhsal sağlık üzerinde olumlu etkiler yaratır (Seligman, 1975).
Mizah,Zihinsel sağlığı iyileştiren ve sosyal bağlantıları güçlendiren bir araç; stresle başa çıkmada yardımcı olabilir (Fisher, 1993).
Sosyal Normlar,Bir grup içinde kabul edilen davranış standartları; bireylerin sosyal ilişkilerini şekillendirir (Gottman, 1994).
Gelişimsel Kriz,Bireyin yaşamında önemli değişimlerin meydana geldiği dönem; ruhsal sağlık üzerinde etkili olabilir (Roth, 1986).
Başarısızlık Korkusu,Başarısızlık durumunda yaşanan kaygı; bireylerin risk almalarını engelleyebilir (Ryan & Deci, 2000).
Kendilik Tanımlaması,Bireyin kendini nasıl tanımladığı ve kimlik geliştirme süreci; ruhsal sağlığı etkileyebilir (Rogers, 1951).
Özgürlük,Bireyin kendi kararlarını verme ve seçim yapma yeteneği; ruhsal sağlığı olumlu etkileyebilir (Ryan & Deci, 2000).
Aşırı Sorun Çözme,Problemleri aşırı bir şekilde analiz etme; ruhsal sağlık üzerinde olumsuz etkiler yaratabilir (Gross, 1998).
Duygusal Zeka Gelişimi,Duygusal zeka yeteneklerini artırma süreci; sosyal ilişkilerdeki başarıyı artırabilir (Goleman, 1995).
Anlamlı İlişkiler,Bireyin hayatında derin anlam taşıyan sosyal bağlantılar; ruhsal sağlığı iyileştirir (Cacioppo & Cacioppo, 2014).
Bağlantısallık,İnsanların birbiriyle kurduğu sosyal bağlantıların karmaşıklığı; ruhsal sağlık üzerinde etkili olabilir (Cacioppo & Cacioppo, 2014).
Bilinçli Farkındalık,Anlık deneyimlere ve düşüncelere dikkat etme yeteneği; stresle başa çıkmada yardımcı olabilir (Kabat-Zinn, 1990).
Bütünlük,Bireyin değerleri ve eylemleri arasındaki tutarlılık; ruhsal sağlığı olumlu yönde etkileyebilir (Rogers, 1951).
İnsanlık Durumu,İnsanların varoluşsal sorulara verdiği cevaplar; psikolojik sağlık ve ruhsal gelişim üzerinde etkili olabilir (Yalom, 1980).
Zihinsel Engeller,Bireylerin düşüncelerinde veya duygularında engeller oluşturan durumlar; ruhsal sağlığı olumsuz etkileyebilir (Seligman, 1975).
Duygu ve Düşünce Etkileşimi,Duyguların düşünceler üzerindeki etkisi ve tam tersi; bireyin ruhsal sağlığını şekillendirebilir (Beck, 1976).
